distance_mm,gaussian_width_mm,gamma_over_omega,group_delay_us,settling_time_us,N95_cycles,late_time_A0_purity
10.0,0.5,0.005,3.2917030165094614,137.13933409075125,90.0,1.291181522753774e-05
10.0,0.5,0.01,3.2917030165094614,70.41046347612397,46.0,4.7803432220625645e-06
10.0,0.5,0.02,3.2917030165094614,36.66252891240442,24.0,2.4863023154821306e-06
10.0,1.0,0.005,3.2917030165094614,144.5025198137446,95.0,2.9519594881030554e-06
10.0,1.0,0.01,3.2917030165094614,71.02406228637341,47.0,1.097554052868564e-06
10.0,1.0,0.02,3.2917030165094614,36.66252891240442,24.0,5.737702341117871e-07
10.0,2.0,0.005,3.2917030165094614,166.74547668528703,109.0,7.997468469932402e-09
10.0,2.0,0.01,3.2917030165094614,80.07464473755275,53.0,2.9832996781721865e-09
10.0,2.0,0.02,3.2917030165094614,41.87811879952471,28.0,1.565031669408846e-09
20.0,0.5,0.005,6.583406033018923,144.80931921886932,95.0,7.957926799645518e-06
20.0,0.5,0.01,6.583406033018923,73.01825841968412,48.0,2.7899804557492852e-06
20.0,0.5,0.02,6.583406033018923,39.42372355852692,26.0,1.2417923376879082e-06
20.0,1.0,0.005,6.583406033018923,158.30849304435714,104.0,1.811455370262241e-06
20.0,1.0,0.01,6.583406033018923,76.39305187605606,50.0,6.33139301761168e-07
20.0,1.0,0.02,6.583406033018923,39.88392266621401,27.0,2.8049396940772285e-07
20.0,2.0,0.005,6.583406033018923,178.25045437746414,117.0,4.660977850428059e-09
20.0,2.0,0.01,6.583406033018923,84.83003551698594,56.0,1.4848110499019806e-09
20.0,2.0,0.02,6.583406033018923,46.63350957895792,31.0,5.63650762105522e-10
40.0,0.5,0.005,13.166812066037846,148.490912080366,97.0,1.48327988963725e-05
40.0,0.5,0.01,13.166812066037846,80.38144414267745,53.0,3.456790854221217e-06
40.0,0.5,0.02,13.166812066037846,46.48010987639555,31.0,6.5924994279892e-07
40.0,1.0,0.005,13.166812066037846,148.490912080366,97.0,3.3871785151409014e-06
40.0,1.0,0.01,13.166812066037846,85.90383343492249,56.0,7.928931658552003e-07
40.0,1.0,0.02,13.166812066037846,46.48010987639555,31.0,1.5421993718203e-07
40.0,2.0,0.005,13.166812066037846,163.6774826340398,107.0,9.315492095510584e-09
40.0,2.0,0.01,13.166812066037846,90.19902510666861,59.0,2.296761872357277e-09
40.0,2.0,0.02,13.166812066037846,51.54230006095349,34.0,5.536110694298861e-10
